c_id,category,description,id,image,price,rating_count,rating_rate,title
638ecd6801f5b80b85d72013,electronics,"3D NAND flash are applied to deliver high transfer speeds Remarkable transfer speeds that enable faster bootup and improved overall system performance. The advanced SLC Cache Technology allows performance boost and longer lifespan 7mm slim design suitable for Ultrabooks and Ultra-slim notebooks. Supports TRIM command, Garbage Collection technology, RAID, and ECC (Error Checking & Correction) to provide the optimized performance and enhanced reliability.",11,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,109,319,4.8,Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5
638ecd6801f5b80b85d72014,electronics,"Expand your PS4 gaming experience, Play anywhere Fast and easy, setup Sleek design with high capacity, 3-year manufacturer's limited warranty",12,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,114,400,4.8,WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive
638ecd6801f5b80b85d72015,electronics,21. 5 inches Full HD (1920 x 1080) widescreen IPS display And Radeon free Sync technology. No compatibility for VESA Mount Refresh Rate: 75Hz - Using HDMI port Zero-frame design | ultra-thin | 4ms response time | IPS panel Aspect ratio - 16: 9. Color Supported - 16. 7 million colors. Brightness - 250 nit Tilt angle -5 degree to 15 degree. Horizontal viewing angle-178 degree. Vertical viewing angle-178 degree 75 hertz,13,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,599,250,2.9,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin
638ecd6801f5b80b85d72016,electronics,"49 INCH SUPER ULTRAWIDE 32:9 CURVED GAMING MONITOR with dual 27 inch screen side by side QUANTUM DOT (QLED) TECHNOLOGY, HDR support and factory calibration provides stunningly realistic and accurate color and contrast 144HZ HIGH REFRESH RATE and 1ms ultra fast response time work to eliminate motion blur, ghosting, and reduce input lag",14,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,999.99,140,2.2,Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED 
638ecd6801f5b80b85d72017,women's clothing,"Note:The Jackets is US standard size, Please choose size as your usual wear Material: 100% Polyester; Detachable Liner Fabric: Warm Fleece. Detachable Functional Liner: Skin Friendly, Lightweigt and Warm.Stand Collar Liner jacket, keep you warm in cold weather. Zippered Pockets: 2 Zippered Hand Pockets, 2 Zippered Pockets on Chest (enough to keep cards or keys)and 1 Hidden Pocket Inside.Zippered Hand Pockets and Hidden Pocket keep your things secure. Humanized Design: Adjustable and Detachable Hood and Adjustable cuff to prevent the wind and water,for a comfortable fit. 3 in 1 Detachable Design provide more convenience, you can separate the coat and inner as needed, or wear it together. It is suitable for different season and help you adapt to different climates",15,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_.jpg,56.99,235,2.6,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats
638ecd6801f5b80b85d72018,women's clothing,"100% POLYURETHANE(shell) 100% POLYESTER(lining) 75% POLYESTER 25% COTTON (SWEATER), Faux leather material for style and comfort / 2 pockets of front, 2-For-One Hooded denim style faux leather jacket, Button detail on waist / Detail stitching at sides, HAND WASH ONLY / DO NOT BLEACH / LINE DRY / DO NOT IRON",16,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_.jpg,29.95,340,2.9,Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket
638ecd6801f5b80b85d72019,women's clothing,"Lightweight perfet for trip or casual wear---Long sleeve with hooded, adjustable drawstring waist design. Button and zipper front closure raincoat, fully stripes Lined and The Raincoat has 2 side pockets are a good size to hold all kinds of things, it covers the hips, and the hood is generous but doesn't overdo it.Attached Cotton Lined Hood with Adjustable Drawstrings give it a real styled look.",17,https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2.jpg,39.99,679,3.8,Rain Jacket Women Windbreaker Striped Climbing Raincoats
638ecd6801f5b80b85d7201a,women's clothing,"95% RAYON 5% SPANDEX, Made in USA or Imported, Do Not Bleach, Lightweight fabric with great stretch for comfort, Ribbed on sleeves and neckline / Double stitching on bottom hem",18,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_.jpg,9.85,130,4.7,MBJ Women's Solid Short Sleeve Boat Neck V 
638ecd6801f5b80b85d7201b,women's clothing,"100% Polyester, Machine wash, 100% cationic polyester interlock, Machine Wash & Pre Shrunk for a Great Fit, Lightweight, roomy and highly breathable with moisture wicking fabric which helps to keep moisture away, Soft Lightweight Fabric with comfortable V-neck collar and a slimmer fit, delivers a sleek, more feminine silhouette and Added Comfort",19,https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_.jpg,7.95,146,4.5,Opna Women's Short Sleeve Moisture
638ecd6801f5b80b85d7201c,women's clothing,"95%Cotton,5%Spandex, Features: Casual, Short Sleeve, Letter Print,V-Neck,Fashion Tees, The fabric is soft and has some stretch., Occasion: Casual/Office/Beach/School/Home/Street. Season: Spring,Summer,Autumn,Winter.",20,https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_.jpg,12.99,145,3.6,DANVOUY Womens T Shirt Casual Cotton Short
